Trying to read excel file by admin at Mar 24, 2015, 2:11 pm.
Trying to make database connection.
..connected.

1st sheet is consist of 906 rows.
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('E254', 'ETHNIC BTK', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('E271', 'EXPAND', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('E346', 'EUGENE', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('E361', 'EDDY MUSLIM', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('F016', 'FABULOUS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('F048', 'FASHION PARK', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('F058', 'FELANCY', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('F127', 'FLUORESCENCES', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('F137', 'FOIL BY CRV', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('F172', 'FREE&FREE', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('F300', 'FEEL 100%', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('F338', 'FLORIN', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('F371', 'FEMME', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('F453', 'FLAMOUSH', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('G189', 'GRAPHIS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('G537', 'GEELA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('G541', 'G2000', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('G562', 'GARUDA KENCANA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('G722', 'GROOVI LDS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('H039', 'HAMMER', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('H108', 'HEATH', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('H143', 'HERMAN NUARY', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('H249', 'HUITIEME', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('H251', 'HUMAIRA BSN', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('H252', 'HUMAIRA KRD', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('H359', 'HAFIZA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('I132', 'IRISH', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('I199', 'INDO ARTISTIC', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('I229', 'IDAMAN', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
